algoritmo,tamano,tiempo,complejidad,operaciones_reales,operaciones_normalizadas,ratio_ops_tamano,log_operaciones,log_tamano,tiempo_normalizado
bubble_sort,30,8.039474487304687e-05,O(n^2),1326,1.471698113207547,44.2,7.190676034332207,3.4339872044851463,8.922835169039608e-08
bubble_sort,50,0.00021936893463134766,O(n^2),3706,1.4818072770891644,74.12,8.217978203150732,3.9318256327243257,8.771248885699626e-08
bubble_sort,75,0.000537419319152832,O(n^2),8505,1.5117312477781728,113.4,9.04852707581358,4.330733340286331,9.55242302084664e-08
bubble_sort,100,0.0008841514587402344,O(n^2),14684,1.4682531746825318,146.84,9.59458184363272,4.61512051684126,8.840630524349909e-08
bubble_sort,150,0.002290112631661551,O(n^2),33738,1.4994000266654814,224.92,10.426409717249351,5.017279836814924,1.0177826015117334e-07
bubble_sort,200,0.0035445690155029297,O(n^2),58732,1.4682632934176645,293.66,10.980757028431103,5.303304908059076,8.861201008732106e-08
bubble_sort,210,0.0038900034768240793,O(n^2),66314,1.5036847237024105,315.7809523809524,11.102171394928453,5.351858133476067,8.820669546776896e-08
bubble_sort,350,0.011552047729492188,O(n^2),184714,1.5078570787177248,527.7542857142857,12.126569375667229,5.860786223465865,9.430166063535962e-08
bubble_sort,400,0.014890384674072266,O(n^2),239664,1.4978906381835113,599.16,12.386997393907974,5.993961427306569,9.306432256093565e-08
bubble_sort,450,0.017987966537475586,O(n^2),301014,1.486481548239268,668.92,12.61491537637639,6.111467339502679,8.882902572074008e-08
bubble_sort,550,0.030036020278930663,O(n^2),456418,1.5088148468930682,829.8509090909091,13.03116652625254,6.311734809152915,9.929230078224754e-08
bubble_sort,660,0.040903997421264646,O(n^2),661982,1.519698072318475,1003.0030303030303,13.402995154831107,6.493753839851686,9.390244150326709e-08
selection_sort,10,1.4281272888183593e-05,O(n^2),120,1.188118811881188,12.0,4.795790545596741,2.3978952727983707,1.413987414671643e-07
selection_sort,15,2.3889541625976563e-05,O(n^2),255,1.1283185840707965,17.0,5.545177444479562,2.772588722239781,1.0570593639812638e-07
selection_sort,20,3.645420074462891e-05,O(n^2),440,1.0972568578553616,22.0,6.089044875446846,3.044522437723423,9.090823128336386e-08
selection_sort,25,4.274845123291016e-05,O(n^2),675,1.0782747603833867,27.0,6.516193076042964,3.258096538021482,6.828826075544754e-08
selection_sort,30,5.817413330078125e-05,O(n^2),960,1.065482796892342,32.0,6.8679744089702925,3.4339872044851463,6.456618568344201e-08
selection_sort,50,0.0001821279525756836,O(n^2),2600,1.0395841663334666,52.0,7.8636512654486515,3.9318256327243257,7.282205220938967e-08
selection_sort,75,0.00042908191680908204,O(n^2),5775,1.0264841805901173,77.0,8.661466680572662,4.330733340286331,7.626767095788874e-08
selection_sort,100,0.0007555484771728516,O(n^2),10200,1.01989801019898,102.0,9.23024103368252,4.61512051684126,7.554729298798636e-08
selection_sort,150,0.0013960770198277064,O(n^2),22800,1.0132882982978535,152.0,10.034559673629849,5.017279836814924,6.204510998745417e-08
selection_sort,200,0.0024680750710623606,O(n^2),40400,1.0099747506312342,202.0,10.606609816118151,5.303304908059076,6.170033426820231e-08
selection_sort,210,0.0027312891823904856,O(n^2),44520,1.0095009183465227,212.0,10.703716266952133,5.351858133476067,6.193259069840787e-08
selection_sort,350,0.007372999191284179,O(n^2),123200,1.0057060758687684,352.0,11.72157244693173,5.860786223465865,6.018725717573064e-08
selection_sort,400,0.009556341171264648,O(n^2),160800,1.0049937187892575,402.0,11.987922854613139,5.993961427306569,5.972675902816013e-08
selection_sort,450,0.012878227233886718,O(n^2),203400,1.0044394842494604,452.0,12.222934679005357,6.111467339502679,6.359586981736742e-08
selection_sort,550,0.021984958648681642,O(n^2),303600,1.0036330458411709,552.0,12.62346961830583,6.311734809152915,7.26773089962732e-08
selection_sort,660,0.029276227951049803,O(n^2),436920,1.0030280003948568,662.0,12.987507679703372,6.493753839851686,6.7208817130929e-08
insertion_sort,10,7.3909759521484375e-06,O(n^2),78,0.7722772277227723,7.8,4.3694478524670215,2.3978952727983707,7.317797972424195e-08
insertion_sort,15,9.560585021972657e-06,O(n^2),156,0.6902654867256637,10.4,5.056245805348308,2.772588722239781,4.230347354855158e-08
insertion_sort,20,1.3804435729980468e-05,O(n^2),238,0.5935162094763092,11.9,5.476463551931511,3.044522437723423,3.442502675805603e-08
insertion_sort,25,2.0051002502441405e-05,O(n^2),348,0.5559105431309904,13.92,5.855071922202427,3.258096538021482,3.203035543520991e-08
insertion_sort,30,3.9505958557128904e-05,O(n^2),500,0.5549389567147613,16.666666666666668,6.2166061010848646,3.4339872044851463,4.384679085141943e-08
insertion_sort,50,8.702278137207031e-05,O(n^2),1138,0.45501799280287886,22.76,7.037905963447182,3.9318256327243257,3.479519447103971e-08
insertion_sort,75,0.00019309520721435546,O(n^2),3436,0.6107358691788126,45.81333333333333,8.142354276849835,4.330733340286331,3.432193516074573e-08
insertion_sort,100,0.00032172203063964846,O(n^2),4588,0.4587541245875412,45.88,8.431417414394833,4.61512051684126,3.216898616534831e-08
insertion_sort,150,0.0007052762167794364,O(n^2),11070,0.491978134305142,73.8,9.312084355859467,5.017279836814924,3.134421655835014e-08
insertion_sort,200,0.0011703627450125559,O(n^2),20856,0.5213869653258668,104.28,9.945444902296636,5.303304908059076,2.9258337166884725e-08
insertion_sort,210,0.0013876642499651229,O(n^2),23286,0.5280152377497109,110.88571428571429,10.055650543933236,5.351858133476067,3.1465596017440033e-08
insertion_sort,350,0.0036701679229736326,O(n^2),64076,0.5230651178357728,183.0742857142857,11.067840764166915,5.860786223465865,2.996030989929578e-08
insertion_sort,400,0.0047471046447753905,O(n^2),82290,0.5143092855669652,205.725,11.318017024670775,5.993961427306569,2.9669218597229957e-08
insertion_sort,450,0.0057659149169921875,O(n^2),103218,0.5097160014024622,229.37333333333333,11.544608223610837,6.111467339502679,2.8473513301130302e-08
