algoritmo,tamano,tiempo,complejidad,operaciones_reales,operaciones_normalizadas,ratio_ops_tamano,log_operaciones,log_tamano,tiempo_normalizado
busqueda_binaria,50,0.00010020732879638672,O(log n),35,0.013994402239104359,0.7,3.58351893845611,3.9318256327243257,4.006690475665203e-08
busqueda_binaria,75,0.0,O(log n),35,0.006221116246000711,0.4666666666666667,3.58351893845611,4.330733340286331,0.0
busqueda_binaria,100,0.0,O(log n),35,0.0034996500349965005,0.35,3.58351893845611,4.61512051684126,0.0
busqueda_binaria,150,0.0,O(log n),41,0.0018221412381671926,0.2733333333333333,3.7376696182833684,5.017279836814924,0.0
busqueda_binaria,200,0.0,O(log n),47,0.0011749706257343567,0.235,3.871201010907891,5.303304908059076,0.0
busqueda_binaria,210,0.0,O(log n),17,0.0003854787873290855,0.08095238095238096,2.8903717578961645,5.351858133476067,0.0
busqueda_binaria,350,0.0,O(log n),47,0.0003836703373850009,0.13428571428571429,3.871201010907891,5.860786223465865,0.0
busqueda_binaria,400,0.0,O(log n),53,0.00033124792970043936,0.1325,3.9889840465642745,5.993961427306569,0.0
busqueda_binaria,450,0.0,O(log n),17,8.395020271504831e-05,0.03777777777777778,2.8903717578961645,6.111467339502679,0.0
busqueda_binaria,550,0.00020017623901367188,O(log n),47,0.00015537138720202577,0.08545454545454545,3.871201010907891,6.311734809152915,6.61737445541244e-10
busqueda_binaria,660,0.0,O(log n),59,0.00013544505177903631,0.0893939393939394,4.0943445622221,6.493753839851686,0.0
bubble_sort,10,0.0,O(n^2),146,1.4455445544554455,14.6,4.990432586778736,2.3978952727983707,0.0
bubble_sort,15,9.999275207519531e-05,O(n^2),321,1.420353982300885,21.4,5.7745515455444085,2.772588722239781,4.424458056424571e-07
bubble_sort,20,0.00020053386688232422,O(n^2),636,1.5860349127182045,31.8,6.456769655572163,3.044522437723423,5.000844560656465e-07
bubble_sort,25,0.0004008769989013672,O(n^2),933,1.4904153354632588,37.32,6.839476438228843,3.258096538021482,6.403785924941968e-07
bubble_sort,30,0.0009013652801513672,O(n^2),1372,1.5227524972253053,45.733333333333334,7.224753405767971,3.4339872044851463,1.0004054163722167e-06
bubble_sort,50,0.003104281425476074,O(n^2),3738,1.4946021591363454,74.76,8.226573474977114,3.9318256327243257,1.241216083756927e-06
bubble_sort,75,0.005207729339599609,O(n^2),8341,1.482580874511198,111.21333333333334,9.02905827475689,4.330733340286331,9.256539885530767e-07
bubble_sort,100,0.008912968635559081,O(n^2),15216,1.5214478552144786,152.16,9.630168502920114,4.61512051684126,8.9120774278163e-07
bubble_sort,150,0.016882215227399553,O(n^2),33792,1.5017999200035554,225.28,10.428008959431105,5.017279836814924,7.502873306697281e-07
bubble_sort,200,0.026038851056780134,O(n^2),59354,1.4838129046773831,296.77,10.991291642487635,5.303304908059076,6.509550025444398e-07
bubble_sort,210,0.03033031736101423,O(n^2),66334,1.5041382281580917,315.87619047619046,11.102472940351017,5.351858133476067,6.877467032723573e-07
bubble_sort,350,0.07691397666931152,O(n^2),180756,1.475547138390707,516.4457142857143,12.104908866795325,5.860786223465865,6.278640718795073e-07
bubble_sort,400,0.10295276641845703,O(n^2),241552,1.5096905644339722,603.88,12.394844189694291,5.993961427306569,6.434507685480531e-07
bubble_sort,450,0.12598729133605957,O(n^2),300534,1.4841111895743724,667.8533333333334,12.613319498720756,6.111467339502679,6.22156391010709e-07
bubble_sort,550,0.18827953338623046,O(n^2),441590,1.459796827117927,802.8909090909091,12.998139393302557,6.311734809152915,6.22409623063165e-07
bubble_sort,660,0.28181867599487304,O(n^2),658404,1.5114841334156717,997.5818181818182,13.39757552248384,6.493753839851686,6.469651722444921e-07
selection_sort,10,0.0,O(n^2),120,1.188118811881188,12.0,4.795790545596741,2.3978952727983707,0.0
selection_sort,15,0.00010018348693847656,O(n^2),255,1.1283185840707965,17.0,5.545177444479562,2.772588722239781,4.4328976521449806e-07
selection_sort,20,0.00020029544830322266,O(n^2),440,1.0972568578553616,22.0,6.089044875446846,3.044522437723423,4.994898960180117e-07
selection_sort,25,0.00020012855529785156,O(n^2),675,1.0782747603833867,27.0,6.516193076042964,3.258096538021482,3.196941777920951e-07
selection_sort,30,0.0005008935928344727,O(n^2),960,1.065482796892342,32.0,6.8679744089702925,3.4339872044851463,5.559307356653415e-07
selection_sort,50,0.0013019084930419923,O(n^2),2600,1.0395841663334666,52.0,7.8636512654486515,3.9318256327243257,5.205551751467383e-07
selection_sort,75,0.00360565185546875,O(n^2),5775,1.0264841805901173,77.0,8.661466680572662,4.330733340286331,6.4089083815655e-07
selection_sort,100,0.005908370018005371,O(n^2),10200,1.01989801019898,102.0,9.23024103368252,4.61512051684126,5.907779240081363e-07
selection_sort,150,0.012017931256975447,O(n^2),22800,1.0132882982978535,152.0,10.034559673629849,5.017279836814924,5.341065400193524e-07
selection_sort,200,0.019314255033220564,O(n^2),40400,1.0099747506312342,202.0,10.606609816118151,5.303304908059076,4.828443047228961e-07
selection_sort,210,0.02002951077052525,O(n^2),44520,1.0095009183465227,212.0,10.703716266952133,5.351858133476067,4.5417361897746654e-07
selection_sort,350,0.05408015251159668,O(n^2),123200,1.0057060758687684,352.0,11.72157244693173,5.860786223465865,4.414670289352469e-07
selection_sort,400,0.0705042839050293,O(n^2),160800,1.0049937187892575,402.0,11.987922854613139,5.993961427306569,4.4064902035005596e-07
selection_sort,450,0.08813056945800782,O(n^2),203400,1.0044394842494604,452.0,12.222934679005357,6.111467339502679,4.3521053949367075e-07
selection_sort,550,0.1325965404510498,O(n^2),303600,1.0036330458411709,552.0,12.62346961830583,6.311734809152915,4.383342218738113e-07
